Team1Ban1,Team2Ban1,Team1Ban2,Team2Ban2,Team1Ban3,Team2Ban3,Team1Pick1,Team2Pick1,Team2Pick2,Team1Pick2,Team1Pick3,Team2Pick3,Team2Ban4,Team1Ban4,Team2Ban5,Team1Ban5,Team2Pick4,Team1Pick4,Team1Pick5,Team2Pick5
Irelia,Olaf,Yone,Renekton,Viego,Gragas,Azir,Trundle,Kassadin,Yunara,Wukong,Lulu,Braum,Jinx,Rell,Darius,Tristana,Ambessa,Nautilus,Udyr
Irelia,Olaf,Yone,Renekton,Viego,Gragas,Syndra,Sylas,Volibear,Pantheon,Sivir,Jhin,Sion,Kayle,K'Sante,Sejuani,Rell,Braum,Ornn,Gwen
Irelia,Olaf,Yuumi,Karma,Neeko,Aatrox,Sylas,Sivir,Sejuani,Jarvan IV,Ryze,Akali,Alistar,Yasuo,Lux,Pyke,Renekton,Xayah,Galio,Nautilus
Irelia,Pyke,Sona,Karma,Aatrox,Yuumi,Sejuani,Xayah,Skarner,Lux,Sivir,Alistar,Neeko,Jarvan IV,Yasuo,Renekton,Azir,Akali,Gnar,Camille
Irelia,Qiyana,Azir,Mordekaiser,Tahm Kench,Yasuo,Karma,Xayah,Rakan,Lux,Jarvan IV,Sylas,Caitlyn,Aatrox,Draven,Corki,Neeko,Sivir,Akali,Jayce
Irelia,Qiyana,Yasuo,Yuumi,Sylas,Draven,Xayah,Rakan,Azir,Karma,Corki,Lucian,Nautilus,Sejuani,Olaf,Kled,Gragas,Lee Sin,Fiddlesticks,Garen
Irelia,Rakan,Akali,Cassiopeia,Tahm Kench,Aatrox,Urgot,Camille,Sion,Alistar,Lucian,Ezreal,Vladimir,LeBlanc,Lissandra,Zoe,Ornn,Galio,Taliyah,Jayce
Irelia,Rakan,Akali,Yuumi,Olaf,Tahm Kench,Gragas,Aatrox,Sejuani,Qiyana,Alistar,Ezreal,Sivir,Braum,Kai'Sa,Nautilus,Taric,Lucian,Camille,Fiora
Irelia,Rakan,Varus,Swain,Akali,Aatrox,Kindred,Tahm Kench,Camille,Braum,Ornn,Yasuo,LeBlanc,Trundle,Ryze,Sejuani,Miss Fortune,Kai'Sa,Galio,Vladimir
Irelia,Rek'Sai,Jayce,Olaf,Sivir,Morgana,Aatrox,Sylas,Nautilus,Xayah,Rakan,Kai'Sa,Sejuani,Ryze,Xin Zhao,Karthus,Lee Sin,Jarvan IV,Neeko,Gangplank
Irelia,Rek'Sai,Renekton,Sylas,Aatrox,Olaf,Neeko,Karma,Sejuani,Xin Zhao,Nautilus,Jayce,Ryze,Sivir,Kennen,Kai'Sa,Xayah,Varus,Tahm Kench,Braum
Irelia,Ryze,Akali,Aatrox,Poppy,Varus,Tahm Kench,Gragas,Kai'Sa,Tristana,LeBlanc,Rakan,Gangplank,Lulu,Urgot,Camille,Lee Sin,Zac,Jayce,Galio
Irelia,Ryze,Nautilus,Aatrox,Jayce,Neeko,Olaf,Renekton,Yuumi,Karma,Kai'Sa,Lucian,Lux,Trundle,Thresh,Jarvan IV,Sejuani,Dr. Mundo,Volibear,Fiora
Irelia,Sejuani,Kennen,Karma,Neeko,Aatrox,Kai'Sa,Yuumi,Akali,Jayce,Thresh,Lucian,Gragas,Olaf,Renekton,Rek'Sai,Jarvan IV,Elise,Morgana,Corki
Irelia,Sejuani,LeBlanc,Karma,Zoe,Thresh,Jayce,Aatrox,Lux,Sylas,Corki,Jarvan IV,Ezreal,Azir,Nautilus,Caitlyn,Taliyah,Yuumi,Kai'Sa,Xayah
Irelia,Sejuani,Sona,Karma,Yuumi,Yasuo,Pyke,Jarvan IV,Lux,Zoe,Olaf,Sivir,Draven,Akali,Twisted Fate,Aatrox,Neeko,Bard,Lucian,Camille
Irelia,Sivir,Jayce,Olaf,Ryze,Aatrox,Sejuani,Sylas,Yuumi,Renekton,Sona,Rek'Sai,Taric,Neeko,Karma,LeBlanc,Kennen,Nautilus,Dr. Mundo,Vayne
Irelia,Sivir,Jayce,Olaf,Ryze,Aatrox,Sejuani,Sylas,Yuumi,Renekton,Sona,Rek'Sai,Taric,Neeko,Karma,Kennen,Vladimir,Nautilus,Kled,Vayne
Irelia,Sona,Jayce,Aatrox,Karma,Neeko,Olaf,Renekton,Sylas,Sivir,Nautilus,Sejuani,Kennen,Xayah,Taliyah,Lux,Tahm Kench,Ryze,Gangplank,Varus
Irelia,Sona,Yuumi,Karma,Olaf,Sejuani,Aatrox,Jarvan IV,Xayah,Lux,Sivir,Rakan,Gragas,Twisted Fate,Skarner,Gangplank,Corki,Azir,Rek'Sai,Shen
Irelia,Sylas,Jayce,Ryze,Zoe,Jarvan IV,Aatrox,Neeko,Nautilus,Olaf,Sivir,Lucian,Lux,Fiora,Yuumi,LeBlanc,Lee Sin,Karma,Morgana,Taliyah
Irelia,Sylas,Lucian,Olaf,Yuumi,Lux,Aatrox,Sejuani,Neeko,Sivir,Nautilus,Alistar,Akali,Camille,Jarvan IV,Jayce,Xayah,Taliyah,Lee Sin,Fiora
Irelia,Sylas,Olaf,Jayce,Tahm Kench,Rek'Sai,Kalista,Galio,Vayne,Vladimir,Thresh,Kennen,Ryze,Alistar,LeBlanc,Nocturne,Zoe,Lissandra,Jarvan IV,Aatrox
Irelia,Sylas,Olaf,Jayce,Tahm Kench,Kalista,Rek'Sai,Braum,Neeko,Lucian,Thresh,LeBlanc,Lissandra,Jarvan IV,Vladimir,Jax,Aatrox,Morgana,Yorick,Fiora
Irelia,Sylas,Ryze,Olaf,Rek'Sai,Lux,Aatrox,Yuumi,Sejuani,Neeko,Gragas,Corki,Alistar,Gangplank,Nautilus,Sivir,Kennen,Yasuo,Karthus,Lucian
Irelia,Sylas,Sona,Rek'Sai,Yuumi,Jayce,Aatrox,Olaf,Lux,Nautilus,Karma,Sivir,Varus,Neeko,Lee Sin,Ryze,Kennen,Lucian,Jarvan IV,Syndra
Irelia,Sylas,Varus,Karthus,Skarner,Draven,Rek'Sai,Xayah,Rakan,Sona,Taric,Ryze,Jarvan IV,LeBlanc,Corki,Hecarim,Morgana,Yasuo,Kennen,Pyke
Irelia,Sylas,Varus,Karthus,Skarner,Sona,Rek'Sai,Ryze,Jarvan IV,Galio,Draven,Tahm Kench,Kennen,LeBlanc,Gangplank,Hecarim,Neeko,Akali,Aatrox,Jayce
Irelia,Sylas,Zoe,Aatrox,Jayce,Akali,Neeko,Ryze,Olaf,Jarvan IV,Lucian,Kai'Sa,Galio,Lux,Nautilus,LeBlanc,Yuumi,Sona,Hecarim,Renekton
Irelia,Tahm Kench,Aatrox,Lucian,Akali,Camille,Cassiopeia,Urgot,Rakan,Morgana,Xin Zhao,Sivir,Sion,Zoe,Ryze,Syndra,Jayce,Lissandra,Jax,Karthus
Irelia,Tahm Kench,Aatrox,Lucian,Akali,Camille,Cassiopeia,Urgot,Xin Zhao,Alistar,Sion,Ezreal,Lee Sin,Zoe,Sejuani,Syndra,Ornn,Jax,Nocturne,Lissandra
Irelia,Tahm Kench,Aatrox,Lucian,Akali,Cassiopeia,Urgot,Xayah,Rakan,Caitlyn,Morgana,Sion,Jax,Zoe,Xin Zhao,Camille,Lee Sin,Galio,Jarvan IV,Vayne
Irelia,Tahm Kench,LeBlanc,Kai'Sa,Jayce,Vayne,Neeko,Alistar,Kalista,Lissandra,Galio,Cassiopeia,Jarvan IV,Camille,Nocturne,Gangplank,Kindred,Rek'Sai,Kennen,Sion
Irelia,Taliyah,Camille,Karma,LeBlanc,Jayce,Azir,Lux,Sejuani,Sivir,Yuumi,Lucian,Sylas,Aatrox,Renekton,Mordekaiser,Zoe,Jarvan IV,Vladimir,Sion
Irelia,Taric,Ryze,Jayce,Jarvan IV,Lucian,Sylas,Akali,Galio,Kai'Sa,Nautilus,Rek'Sai,Sejuani,Draven,Gangplank,Syndra,Vayne,Hecarim,Kennen,Neeko
Irelia,Urgot,Akali,Aatrox,Rakan,Alistar,Kai'Sa,Ornn,Braum,Thresh,Shen,Sivir,Syndra,LeBlanc,Skarner,Olaf,Ryze,Galio,Camille,Lee Sin
Irelia,Urgot,Akali,Aatrox,Xayah,Tahm Kench,Kai'Sa,Lucian,Alistar,Gragas,Sion,Ornn,Braum,Taliyah,Shen,Syndra,Nocturne,Galio,Leona,Azir
Irelia,Vladimir,Kennen,Sylas,Jayce,Lissandra,Galio,Rek'Sai,Tahm Kench,Jarvan IV,LeBlanc,Zoe,Gangplank,Varus,Kayle,Ashe,Renekton,Vayne,Ryze,Kog'Maw
Irelia,Vladimir,LeBlanc,Sylas,Rek'Sai,Gangplank,Jayce,Lissandra,Kennen,Jarvan IV,Zoe,Nocturne,Galio,Ashe,Alistar,Kalista,Tahm Kench,Gragas,Ezreal,Kai'Sa
Irelia,Vladimir,Yasuo,Nocturne,Lucian,Zoe,Taliyah,Olaf,Ashe,Morgana,Darius,Lulu,Aurelion Sol,Tahm Kench,Ryze,Alistar,Dr. Mundo,Trundle,Shen,Rakan
Irelia,Wukong,Camille,Poppy,Varus,Sion,Ambessa,Renekton,Pantheon,Trundle,Taliyah,Annie,Braum,Orianna,Rell,Nautilus,Yunara,Jinx,Milio,Blitzcrank
Irelia,Xayah,Jayce,Aatrox,Ryze,Rek'Sai,Olaf,Jarvan IV,Yuumi,Karma,Lucian,Kai'Sa,Nautilus,Azir,Renekton,Zoe,Sylas,Quinn,Neeko,Sion
Irelia,Xayah,Jayce,Aatrox,Sivir,Rek'Sai,Ryze,Sejuani,Yuumi,Trundle,Renekton,Kai'Sa,Lux,Azir,Kalista,Neeko,Gangplank,Sona,Taric,Zoe
Irelia,Yuumi,Karma,Sivir,Lux,Jayce,Kai'Sa,Nautilus,Azir,Sylas,Leona,Olaf,Gangplank,Xayah,Renekton,Kalista,Jinx,Varus,Mordekaiser,Fiora
Irelia,Yuumi,Karma,Sivir,Lux,Jayce,Kai'Sa,Xayah,Sylas,Olaf,Mordekaiser,Rakan,Leona,Aatrox,Fiddlesticks,Fiora,Jax,Nautilus,Azir,Corki
Irelia,Yuumi,Lux,Sivir,Karma,Jayce,Karthus,Kai'Sa,Sylas,Gangplank,Azir,Aatrox,Kalista,Taliyah,Tahm Kench,Nautilus,Corki,Ezreal,Pyke,Rakan
Irelia,Yuumi,Taliyah,Sylas,Ryze,Neeko,Aatrox,Camille,Sejuani,Ezreal,Lee Sin,Tahm Kench,LeBlanc,Viktor,Akali,Yasuo,Sona,Lissandra,Braum,Fiora
Irelia,Zilean,Akali,Nocturne,LeBlanc,Alistar,Viktor,Rakan,Xin Zhao,Aatrox,Graves,Jayce,Lucian,Xayah,Draven,Syndra,Sivir,Lissandra,Leona,Azir
Irelia,Zoe,Yasuo,Jayce,Lucian,Draven,Jarvan IV,Kai'Sa,Rek'Sai,Tahm Kench,Ryze,Orianna,Elise,Soraka,LeBlanc,Yorick,Urgot,Sylas,Jinx,Rakan
Ivern,Annie,Pantheon,Zyra,Hwei,Mel,Wukong,Varus,Leona,Ezreal,Azir,Syndra,Rakan,Viego,Bard,Vi,Lee Sin,Braum,Ornn,Camille
Ivern,Caitlyn,Cassiopeia,Kog'Maw,Zac,Galio,Elise,Rek'Sai,Thresh,Varus,Rakan,Kalista,Kassadin,Syndra,Jarvan IV,Fiora,Corki,Renekton,LeBlanc,Rumble
Ivern,Camille,Kog'Maw,Shen,Fizz,LeBlanc,Ashe,Kennen,Karma,Rengar,Thresh,Rumble,Kled,Kassadin,Jayce,Ekko,Nunu &amp; Willump,Syndra,Gragas,Lucian
Ivern,Gangplank,Malzahar,Maokai,Camille,LeBlanc,Rengar,Kha'Zix,Zyra,Jhin,Miss Fortune,Caitlyn,Ryze,Ziggs,Syndra,Orianna,Shen,Poppy,Cassiopeia,Ekko
Ivern,Kled,Kennen,Shen,Graves,LeBlanc,Lee Sin,Lulu,Kha'Zix,Karma,Caitlyn,Ashe,Rumble,Fiora,Malzahar,Nami,Galio,Fizz,Taliyah,Ryze
Ivern,LeBlanc,Caitlyn,Lee Sin,Karma,Gragas,Graves,Lulu,Nunu &amp; Willump,Ziggs,Kennen,Jayce,Thresh,Twitch,Zyra,Ashe,Kog'Maw,Bard,Taliyah,Fizz
Ivern,Lulu,Kennen,Karma,Zyra,Graves,Ashe,Varus,Elise,Lee Sin,Malzahar,Tahm Kench,Kled,Fiora,Rumble,Fizz,Shen,Gragas,LeBlanc,Ryze
Ivern,Rengar,Jayce,LeBlanc,Camille,Kha'Zix,Ryze,Varus,Graves,Jhin,Zyra,Miss Fortune,Lee Sin,Gangplank,Nocturne,Syndra,Shen,Rek'Sai,Rumble,Corki
Ivern,Rengar,Malzahar,Camille,Olaf,LeBlanc,Kha'Zix,Jayce,Varus,Maokai,Ryze,Elise,Jhin,Cassiopeia,Caitlyn,Syndra,Zyra,Ashe,Miss Fortune,Orianna
Ivern,Rengar,Olaf,Camille,Jayce,LeBlanc,Malzahar,Maokai,Varus,Shen,Lee Sin,Kha'Zix,Ezreal,Zyra,Caitlyn,Tahm Kench,Nami,Sivir,Ryze,Orianna
Ivern,Shen,Kennen,Jayce,Malzahar,Lulu,Rengar,Ashe,Karma,Nami,Gragas,Fiora,Ryze,Elise,Syndra,Graves,Orianna,Lucian,Ekko,Lee Sin
Ivern,Shen,Nautilus,Rengar,Kennen,Kog'Maw,Fizz,Ashe,Karma,Graves,Nami,Elise,Lucian,Thresh,Syndra,Malzahar,Gragas,Varus,Ahri,Vladimir
Ivern,Shen,Nautilus,Rengar,Kennen,Twitch,Kog'Maw,Fizz,Graves,Lee Sin,Lulu,Nami,LeBlanc,Caitlyn,Gragas,Taliyah,Ekko,Renekton,Ahri,Ziggs
Ivern,Skarner,Kalista,Maokai,K'Sante,Rumble,Viktor,Varus,Wukong,Ezreal,Sejuani,Azir,Poppy,Rakan,Alistar,Rell,Braum,Jayce,Elise,Gragas
Ivern,Skarner,Maokai,Zyra,Varus,Corki,Nocturne,Jayce,Viktor,Orianna,Ambessa,Xayah,Ezreal,Vi,Miss Fortune,Rakan,Rell,Jinx,Nautilus,Viego
Ivern,Skarner,Zyra,Maokai,Mel,Ezreal,Ambessa,K'Sante,Wukong,Azir,Kalista,Rell,Poppy,Taliyah,Renata Glasc,Varus,Corki,Vi,Braum,Hwei
Ivern,Thresh,Fizz,Taliyah,Ashe,Lulu,Karma,Caitlyn,Lee Sin,Elise,Jayce,Tahm Kench,Fiora,Kennen,Kled,Galio,Shen,Kog'Maw,LeBlanc,Syndra
Ivern,Varus,Jayce,LeBlanc,Ryze,Malzahar,Shen,Rumble,Lee Sin,Graves,Zed,Lissandra,Syndra,Orianna,Cassiopeia,Vladimir,Jhin,Ziggs,Zyra,Karma
Janna,Kalista,Tristana,Jarvan IV,Sejuani,Galio,Xayah,Rakan,Syndra,Kayn,Lulu,Rek'Sai,Kassadin,Varus,Taliyah,Gnar,Twitch,Urgot,Corki,Cho'Gath
Janna,Kalista,Xayah,Jarvan IV,Rek'Sai,Galio,Sejuani,Lulu,Syndra,Rakan,Tristana,Sivir,Kassadin,Cho'Gath,Taliyah,Gragas,Gnar,Orianna,Maokai,Elise
Jarvan IV,Akali,Galio,Jayce,Irelia,Rakan,Ryze,Sylas,Rek'Sai,Braum,Varus,Tahm Kench,Sejuani,Ezreal,Neeko,Kennen,Ashe,Skarner,Gnar,Viktor
Jarvan IV,Akali,Sylas,Gragas,Volibear,Yuumi,Qiyana,Lucian,Zoe,Sejuani,Kai'Sa,Olaf,Nautilus,Braum,Morgana,Karma,Alistar,Leona,Aatrox,Kennen
Jarvan IV,Akali,Sylas,Gragas,Yuumi,Qiyana,Kai'Sa,Xayah,Corki,Nautilus,Taliyah,Rakan,Renekton,Skarner,Sejuani,LeBlanc,Nocturne,Aatrox,Rek'Sai,Kennen
Jarvan IV,Aurora,Vi,Zyra,Kalista,Varus,Nocturne,Miss Fortune,Rumble,Ambessa,Orianna,Renekton,Alistar,Mel,Poppy,Skarner,Rell,Xayah,Rakan,LeBlanc
Jarvan IV,Azir,Olaf,Swain,Gangplank,Xayah,Caitlyn,Tahm Kench,Sejuani,Zac,Morgana,Jhin,Cassiopeia,Zoe,Karma,Taliyah,Gnar,Ryze,Vladimir,Galio
Jarvan IV,Braum,Karthus,Kennen,Sylas,Jayce,Draven,Tahm Kench,Ezreal,Thresh,Vladimir,Zoe,Yasuo,Elise,Irelia,Yorick,Sejuani,Orianna,Rek'Sai,Renekton
Jarvan IV,Camille,Kalista,Tahm Kench,Ryze,Zac,Sejuani,Jax,Gangplank,Caitlyn,Azir,Zoe,Gnar,Jinx,Ornn,Taric,Thresh,Vladimir,Braum,Ziggs
Jarvan IV,Camille,Xayah,Zoe,Sivir,Tahm Kench,Tristana,Gangplank,Braum,Sejuani,Gnar,Zac,Ryze,Twitch,Azir,Varus,Ezreal,Taric,Galio,Corki
Jarvan IV,Elise,Thresh,Rumble,Taliyah,Maokai,Cho'Gath,Kog'Maw,Rek'Sai,Lulu,Tristana,Janna,Syndra,Trundle,Gragas,Camille,Orianna,Kha'Zix,Galio,Jax
Jarvan IV,Jayce,Braum,Galio,Kled,LeBlanc,Lucian,Alistar,Sylas,Zoe,Thresh,Ezreal,Kennen,Karthus,Lee Sin,Nocturne,Olaf,Irelia,Rek'Sai,Jax
Jarvan IV,Jayce,Gragas,Yuumi,Karma,Sylas,Aatrox,Tahm Kench,Olaf,Ezreal,Braum,Ashe,LeBlanc,Irelia,Zoe,Jax,Akali,Corki,Trundle,Kennen
Jarvan IV,Jayce,Maokai,Rakan,Thresh,Zac,Kog'Maw,Galio,Cho'Gath,Lulu,Gragas,Jhin,Lucian,Bard,Gnar,Camille,Kayn,Renekton,Corki,Brand
Jarvan IV,Jayce,Olaf,Aatrox,Tristana,Karma,Renekton,Elise,Kai'Sa,Tahm Kench,Ezreal,Rakan,Gragas,Azir,Taliyah,Qiyana,Neeko,Lee Sin,Lissandra,Syndra
Jarvan IV,Kalista,Gragas,Taliyah,Rakan,Sejuani,Lulu,Janna,Kog'Maw,Twitch,Cho'Gath,Maokai,Malzahar,Rek'Sai,Cassiopeia,Lucian,Ryze,Kha'Zix,Galio,Zac
Jarvan IV,Kalista,Janna,Sejuani,Lulu,Rakan,Xayah,Gragas,Varus,Ivern,Alistar,Taric,LeBlanc,Ryze,Kassadin,Syndra,Cho'Gath,Corki,Shen,Taliyah
Jarvan IV,Kalista,Kassadin,Ryze,Syndra,LeBlanc,Rakan,Sejuani,Xayah,Gragas,Galio,Janna,Cassiopeia,Corki,Orianna,Shen,Cho'Gath,Sivir,Taliyah,Vladimir
Jarvan IV,Kalista,Sejuani,Syndra,Gragas,Xayah,Janna,Twitch,Lulu,Rek'Sai,Tristana,Ezreal,Cassiopeia,Taliyah,LeBlanc,Jayce,Ryze,Malzahar,Cho'Gath,Trundle
Jarvan IV,Karma,Qiyana,Karthus,Aatrox,Yuumi,Sylas,Akali,Xayah,Tahm Kench,Ezreal,Nautilus,Zoe,Rek'Sai,Olaf,Sejuani,Taliyah,Renekton,Xin Zhao,Jax
Jarvan IV,Karma,Sejuani,Qiyana,Olaf,Lee Sin,Yasuo,Gragas,Irelia,Sylas,Xayah,Ezreal,Rakan,Braum,Volibear,Yuumi,Tahm Kench,Nautilus,Kennen,Vladimir
Jarvan IV,LeBlanc,Gragas,Zac,Elise,Kog'Maw,Rek'Sai,Tristana,Maokai,Kalista,Alistar,Taric,Shen,Lucian,Rumble,Orianna,Sejuani,Cassiopeia,Gnar,Viktor
Jarvan IV,Mordekaiser,Ryze,Sylas,Akali,Gragas,Tahm Kench,Kai'Sa,Sejuani,Varus,Pantheon,Rumble,Karma,Pyke,Olaf,Nautilus,Volibear,Nocturne,Shyvana,Aatrox
Jarvan IV,Morgana,Vayne,Sylas,Kai'Sa,Lissandra,Braum,Varus,Rek'Sai,Ryze,Kog'Maw,Bard,Kennen,Syndra,Yorick,Gangplank,Jayce,Nocturne,Poppy,Malzahar
Jarvan IV,Olaf,Ryze,Jayce,Gangplank,Kog'Maw,Rek'Sai,Galio,Kalista,Morgana,Hecarim,Vladimir,Kai'Sa,Aurelion Sol,Ezreal,Nocturne,Kindred,Varus,Tahm Kench,Sylas
Jarvan IV,Olaf,Zoe,Sylas,Karma,Yuumi,Tahm Kench,Braum,Gragas,Sejuani,Corki,Irelia,Varus,Akali,Renekton,Neeko,Sivir,Caitlyn,Gangplank,Tristana
Jarvan IV,Pantheon,Aurora,Azir,Ambessa,Trundle,Rumble,Ryze,Corki,Varus,Neeko,K'Sante,Cassiopeia,Rell,Yone,Bard,Karma,Xin Zhao,Viktor,Naafiri
Jarvan IV,Pantheon,Rakan,Jayce,Skarner,Akali,Gragas,Xayah,Nautilus,Kai'Sa,Qiyana,LeBlanc,Syndra,Lee Sin,Lissandra,Kayle,Olaf,Alistar,Vladimir,Aatrox
Jarvan IV,Qiyana,Gragas,Karma,Irelia,Yasuo,Sylas,Olaf,Lucian,Kalista,Lee Sin,Zoe,LeBlanc,Nautilus,Volibear,Alistar,Yuumi,Pantheon,Corki,Vladimir
Jarvan IV,Riven,Rakan,Tahm Kench,Ryze,Azir,Zoe,Kalista,Alistar,Vladimir,Varus,Sion,Braum,Taliyah,Skarner,LeBlanc,Galio,Camille,Leona,Rengar
Jarvan IV,Rumble,Varus,Poppy,Wukong,Yunara,Azir,Taliyah,Trundle,Kai'Sa,Neeko,Corki,Vi,Alistar,Pantheon,Nautilus,Rell,Naafiri,Aurora,Yorick
Jarvan IV,Ryze,Galio,Jayce,Kalista,Tahm Kench,Akali,Sylas,Rakan,Morgana,Draven,Xayah,Olaf,Lee Sin,Irelia,Rek'Sai,Vi,Sejuani,Neeko,Hecarim
Jarvan IV,Ryze,Tahm Kench,Jayce,Taric,Rek'Sai,Sylas,Akali,Galio,Kai'Sa,Nautilus,Lucian,Irelia,Kennen,Kindred,Gangplank,Sejuani,Olaf,Vladimir,Aatrox
Jarvan IV,Sejuani,Alistar,Sion,Leona,Xayah,Swain,Camille,Tahm Kench,Skarner,Varus,Zac,Morgana,Cassiopeia,Gangplank,Galio,Caitlyn,Thresh,Ornn,Taliyah
Jarvan IV,Sona,Galio,Karthus,Tahm Kench,Rek'Sai,Ryze,Sylas,Lee Sin,Xayah,Rakan,Ezreal,Irelia,Braum,Morgana,Akali,Nautilus,Jayce,Elise,Azir
Jarvan IV,Swain,Ryze,Xayah,Alistar,Tahm Kench,Sejuani,Braum,Zac,Sion,Varus,Gangplank,Vladimir,Jhin,Gnar,Ashe,Kog'Maw,Zoe,Morgana,Karma
Jarvan IV,Sylas,Morgana,Jayce,Lissandra,Rek'Sai,LeBlanc,Braum,Xin Zhao,Kalista,Kennen,Kog'Maw,Kha'Zix,Ryze,Lee Sin,Syndra,Akali,Vi,Thresh,Ahri
Jarvan IV,Sylas,Vayne,Lissandra,Kai'Sa,Galio,Kalista,Ryze,Rek'Sai,Olaf,Morgana,Varus,Thresh,Fiddlesticks,Akali,Yorick,Tahm Kench,Braum,Kennen,Corki
Jarvan IV,Tahm Kench,Zoe,Kalista,Cassiopeia,Rek'Sai,Jayce,Galio,Sylas,Braum,Lee Sin,Kindred,Syndra,Lissandra,Vayne,Sion,Xayah,Jinx,LeBlanc,Ryze
Jarvan IV,Taliyah,Kindred,Irelia,Sylas,Yuumi,Rek'Sai,Kai'Sa,Nautilus,Braum,Varus,Corki,Zoe,Renekton,Rumble,Xin Zhao,Skarner,Aatrox,Akali,Qiyana
Jarvan IV,Taliyah,Kindred,Olaf,Sylas,Aatrox,Yuumi,Lucian,Gragas,Ezreal,Irelia,Nautilus,Zoe,Yasuo,Sejuani,Renekton,Akali,Rumble,Rek'Sai,Kled
Jarvan IV,Trundle,Kai'Sa,Azir,Varus,Yunara,Wukong,Annie,Rakan,Galio,Ambessa,Xayah,Kalista,Renekton,Alistar,Yorick,Xin Zhao,Corki,Neeko,Sion
Jarvan IV,Vi,Yunara,Naafiri,Aurora,Fiora,Pantheon,Rumble,Zeri,Galio,Sivir,Alistar,Poppy,Ahri,Xin Zhao,Kindred,Trundle,Kayn,Orianna,Syndra
Jarvan IV,Xayah,Galio,Sylas,Bard,Rek'Sai,Ryze,Varus,Lee Sin,Jayce,Braum,Syndra,Lucian,Ornn,Ashe,Yorick,Sion,Kai'Sa,Sejuani,Fiddlesticks
Jarvan IV,Zoe,LeBlanc,Rek'Sai,Akali,Jayce,Lissandra,Galio,Vladimir,Yorick,Ezreal,Vayne,Thresh,Lee Sin,Tahm Kench,Jax,Corki,Kha'Zix,Braum,Sejuani
Jarvan IV,Zoe,Xayah,Camille,Tristana,Zac,Gangplank,Braum,Skarner,Varus,Sejuani,Vladimir,Tahm Kench,Ezreal,Taric,Azir,Sivir,Alistar,Ryze,Viktor
Jax,Caitlyn,Kassadin,Zac,Taliyah,Kog'Maw,Galio,Rumble,Kalista,Varus,Jarvan IV,Sejuani,Elise,Corki,Thresh,Rakan,Braum,Camille,Tahm Kench,Vladimir
Jax,Rumble,Wukong,Poppy,Taliyah,Neeko,Varus,Sivir,Orianna,Jarvan IV,Galio,Bard,Blitzcrank,Trundle,Rell,Nocturne,Skarner,Yorick,Pyke,Irelia
Jax,Skarner,Elise,Kalista,Ashe,Mel,Zyra,Lillia,Jayce,Yone,Renekton,Ambessa,Poppy,Rakan,Blitzcrank,Bard,Maokai,Sivir,Braum,Zeri
Jax,Skarner,K'Sante,Leona,Kalista,Nocturne,Jayce,Nautilus,Ambessa,Zyra,Corki,Karthus,Alistar,Varus,Rell,Ashe,Ezreal,Kai'Sa,Maokai,Yone
Jax,Skarner,Pantheon,K'Sante,Galio,Rumble,Kalista,Varus,Neeko,Renata Glasc,Nocturne,Wukong,Orianna,Gnar,Aurora,Sylas,Udyr,Akali,Ornn,Azir
Jax,Taliyah,Aatrox,Zoe,Sejuani,Nocturne,Gragas,Swain,Morgana,Soraka,Irelia,Camille,Ashe,Alistar,Ezreal,Darius,Renekton,Poppy,Kai'Sa,Singed
Jayce,Aatrox,Elise,Irelia,Lucian,Rek'Sai,Karma,Kai'Sa,Neeko,Xayah,Olaf,Trundle,Akali,Yorick,Lux,Renekton,Nautilus,Sylas,Morgana,Azir
Jayce,Aatrox,Irelia,Olaf,Sejuani,Rek'Sai,Ryze,Sylas,Jarvan IV,Sivir,Yuumi,Alistar,Xin Zhao,Draven,Lee Sin,Kai'Sa,Lucian,Skarner,Gangplank,Corki
Jayce,Aatrox,Karthus,Lissandra,Cassiopeia,Akali,Lucian,Ezreal,Urgot,Braum,Kennen,Thresh,Xin Zhao,Ryze,Camille,Syndra,Sejuani,LeBlanc,Lee Sin,Viktor
Jayce,Aatrox,Kindred,Taliyah,Shen,Camille,Swain,Graves,Taric,Kennen,Xin Zhao,Vladimir,Zoe,Orianna,Ryze,Morgana,Varus,Galio,Alistar,Rakan
Jayce,Aatrox,Nidalee,Sylas,Ryze,Irelia,Neeko,Sivir,Jarvan IV,Alistar,Rek'Sai,Galio,Akali,Cassiopeia,Pyke,Karma,Kennen,Kai'Sa,Viktor,Zilean
Jayce,Aatrox,Trundle,Rakan,Camille,Taliyah,Varus,Ryze,Lucian,Lee Sin,Orianna,Alistar,Morgana,Nocturne,Tahm Kench,Kindred,Jarvan IV,Shen,Gragas,Kennen
Jayce,Akali,Galio,Aatrox,Cassiopeia,Lucian,Irelia,Urgot,Rakan,Sejuani,Viktor,Xayah,Ezreal,Kha'Zix,Tahm Kench,Ryze,Taliyah,Varus,Leona,Vladimir
Jayce,Akali,Irelia,Sylas,Yasuo,Aatrox,Ezreal,Karma,Nautilus,Tahm Kench,Neeko,Zoe,LeBlanc,Olaf,Sejuani,Sivir,Jarvan IV,Corki,Lee Sin,Xayah
